symbol,timestamp,spot_price,hawkes_score,kalman_velocity,particle_mean,regime_state,ensemble_prediction,meta_learning_weight,fusion_mean,p_up,p_down,expected_return,kelly_fraction,signal,signal_confidence,actual_return,correct,institutional_forecast,institutional_confidence,positioning_strength,bullish_score,bearish_score,neutral_score,pcr_val,gamma_pressure,dealer_pressure,rsi,adx,atr,volume_ratio,pcr,meta_learning_prediction
NIFTY,2026-07-24 04:00:00,4050.8,1.5,-7553.10582241997,,TRANSITION,-0.0101335020735859,0.2,-0.0029568003704113,0.2985508943769885,0.314693023603241,-0.0029568003704113,0.0665274495873873,NEUTRAL,0.3867560820197704,-0.0017962226556233,True,-0.0008333333333333,0.1666666666666666,16.666666666666664,0.0,16.666666666666664,83.33333333333334,1.0,0.0,0.0,,,,,1.0,-0.0043578878976404
NIFTY,2026-07-24 07:45:00,23786.55,1.0,8.539236155661271,23783.74489006066,TRENDING_BULL,-0.0104801021516323,0.25,-6.375351081473879e-05,0.2689486227364208,0.268943604191819,-6.375351081473879e-05,0.0,NEUTRAL,0.4621077730717601,,,0.0,0.0,0.0,0.0,0.0,100.0,0.998877936748412,0.0,0.0,68.53252647503271,69.3942054168784,22.33571428571408,0.0,0.998877936748412,-0.0143846487626433
NIFTY,2026-07-24T07:48:00,23786.6,1.00000000761499,2.2842179437269614,23783.87769637837,TRENDING_BEAR,-0.0097336573526263,0.2,-8.007612169090822e-05,0.2689417468908742,0.2689418503396779,-8.007612169090822e-05,0.0,NEUTRAL,0.462116402769448,7.987589807826229e-05,True,0.0008333333333333,0.1666666666666666,16.666666666666664,16.666666666666664,0.0,83.33333333333334,1.0011607661056294,0.0,0.0,59.31410756039094,40.18324782782617,6.824999999999948,0.0,1.0011607661056294,-0.0157500106841325
BANKNIFTY,2026-07-24 07:45:00,56697.2,1.0,-1.9765574280512648,56706.21018444343,HIGH_VOLATILITY,-5.929672284153796,0.2,-1.2847572061927513e-05,0.2691662526926747,0.2692366259305226,-1.2847572061927513e-05,0.0,NEUTRAL,0.4615971213768025,,,0.0008333333333333,0.1666666666666666,16.666666666666664,16.666666666666664,0.0,83.33333333333334,1.0192104756334486,0.0,0.0,79.35610839178396,40.85298112035412,123.38571428571387,0.0,1.0192104756334486,-9.882787140256326
NIFTY,2026-07-23 22:00:00,24901.72,1.0,67.2664510288622,24899.75959577507,TRANSITION,-0.0128189558163285,0.2,0.0126362099486876,0.3773395934322945,0.2689591104676334,0.0126362099486876,0.2048391126677445,NEUTRAL,0.353701296100072,,,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,,,,,1.0,-0.0126079646870493
NIFTY,2026-07-24 07:45:00,23789.3,1.0,1.9285134695509285,23794.92335483423,TRENDING_BEAR,-0.008944715373218,0.2,0.0002213457275439,0.2693268948346538,0.2689416131252621,0.0002213457275439,0.0383218961691266,NEUTRAL,0.461731492040084,,,0.0008333333333333,0.1666666666666666,16.666666666666664,16.666666666666664,0.0,83.33333333333334,1.0109417221979635,0.0,0.0,75.71351642433626,40.38838716923011,35.73214285714312,0.0,1.0109417221979635,-0.0161761857569217
NIFTY,2026-07-24 07:45:00,23791.2,1.0,13.848986344866429,23786.838965820883,TRENDING_BULL,-0.0104801021516323,0.25,0.0001812155572492,0.2689582831852554,0.2689780833937342,0.0001812155572492,0.0079056907171887,NEUTRAL,0.4620636334210104,,,0.0,0.0,0.0,0.0,0.0,100.0,0.999464183278736,0.0,0.0,69.25351071692052,69.48843619146744,22.66428571428566,0.0,0.999464183278736,-0.013081039302051
NIFTY,2026-07-24T07:49:00,23788.5,1.0000000022935909,1.481884656244913,23785.41212923904,TRENDING_BULL,-0.0095892306417226,0.25,-9.109993085276072e-05,0.2689467237656518,0.2689529479753095,-9.109993085276072e-05,0.000274540703303,NEUTRAL,0.4621003282590387,2.101643905863166e-05,True,-0.0008333333333333,0.1666666666666666,16.666666666666664,0.0,16.666666666666664,83.33333333333334,1.0005865324579497,0.0,0.0,68.58369098711155,40.49207916373347,6.428571428571429,0.0,1.0005865324579497,-0.0130557054653763
NIFTY,2026-07-24 07:45:00,23791.2,1.0,13.848986344866429,23786.99373091201,TRENDING_BULL,-0.0104801021516323,0.25,0.0003264700308641,0.2689571169594064,0.2689424758548723,0.0003264700308641,0.0277094095085162,NEUTRAL,0.4621004071857212,,,0.0,0.0,0.0,0.0,0.0,100.0,0.999464183278736,0.0,0.0,69.25351071692052,69.48843619146744,22.66428571428566,0.0,0.999464183278736,-0.013081039302051
NIFTY,2026-07-24 07:50:00,23788.95,1.0000000006908163,-2.37773695001832,23787.58740178048,TRENDING_BULL,-0.00996427051723,0.25,-6.791853197961167e-05,0.2689443455474611,0.268960427428456,-6.791853197961167e-05,0.0018287164333242,NEUTRAL,0.4620952270240828,,,0.0,0.0,0.0,0.0,0.0,100.0,1.0013121069198925,0.0,0.0,70.87866108785138,42.11266442960866,6.510714285714649,0.0,1.0013121069198925,-0.0129896663129329
NIFTY,2026-07-24 07:50:00,23788.95,1.0000000006908163,-2.37773695001832,23787.72269568977,TRENDING_BULL,-0.00996427051723,0.25,-7.738884941699109e-05,0.2689443581587828,0.2689605093988799,-7.738884941699109e-05,0.0030757996524543,NEUTRAL,0.4620951324423371,,,0.0,0.0,0.0,0.0,0.0,100.0,1.0013121069198925,0.0,0.0,70.87866108785138,42.11266442960866,6.510714285714649,0.0,1.0013121069198925,-0.0129896663129329
NIFTY,2026-07-24 07:50:00,23792.8,1.0,1.1936613771200122,23788.64553249568,TRENDING_BULL,-0.0100478716194629,0.25,-0.0001515638154919,0.2689445165118675,0.2689485970522755,-0.0001515638154919,0.0,NEUTRAL,0.4621068864358569,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9994075007878978,0.0,0.0,73.1412400308668,69.26522364502462,22.464285714285456,0.0,0.9994075007878978,-0.0131883369758725
NIFTY,2026-07-24 07:52:00,23792.8,1.0000000000626694,3.4671216964082183,23789.878005689035,TRENDING_BULL,-0.0096075693145394,0.25,-2.359384859074191e-05,0.268948309030558,0.268949578097418,-2.359384859074191e-05,4.456299543040611e-05,NEUTRAL,0.4621021128720239,,,0.0,0.0,0.0,0.0,0.0,100.0,1.001021665188125,0.0,0.0,76.02611940296565,44.96771007219968,6.117857142857247,0.0,1.001021665188125,-0.0132197206839919
NIFTY,2026-07-24 07:50:00,23792.8,1.0,1.1936613771200122,23790.308882623984,TRENDING_BULL,-0.0100478716194629,0.25,-0.000184099375035,0.2689446603790394,0.2689489305912018,-0.000184099375035,0.043205430422796,NEUTRAL,0.4621064090297588,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9994075007878978,0.0,0.0,73.1412400308668,69.26522364502462,22.464285714285456,0.0,0.9994075007878978,-0.0131883369758725
NIFTY,2026-07-24T07:53:00,23788.8,1.0000000000188758,-1.6144744332803669,23788.11521394168,TRENDING_BULL,-0.0097336573526263,0.25,-4.647136900437474e-05,0.2689445670290536,0.268958510485118,-4.647136900437474e-05,0.0017261135029195,NEUTRAL,0.4620969224858284,0.00036149110879,True,0.0,0.0,0.0,0.0,0.0,100.0,1.0002396276942347,0.0,0.0,71.0059171597427,47.16872203642638,6.210714285714597,0.0,1.0002396276942347,-0.012777579948306
NIFTY,2026-07-24 07:50:00,23791.4,1.0,-0.4049730884441374,23788.448117915297,TRENDING_BULL,-0.0100478157401084,0.25,-0.000227143947667,0.2689438020736474,0.2689501203639148,-0.000227143947667,0.0371633013777229,NEUTRAL,0.4621060775624377,,,0.0,0.0,0.0,0.0,0.0,100.0,0.9992310116608888,0.0,0.0,72.9463591603992,69.33445573346442,22.75714285714276,0.0,0.9992310116608888,-0.0131222978234291
